frame,time_s,lateral_offset_m,heading_error_deg,speed_mps,steering,throttle,brake,drive_mode
0,40.237,-0.0016,-0.01,0.0,0.0,0.0,0.0,MANUAL
1,40.418,-0.0016,0.03,0.0,0.0,0.0,0.0,MANUAL
2,40.59,-0.0016,0.02,0.0,0.0,0.0,0.0,MANUAL
3,40.735,-0.0016,0.02,0.0,0.0,0.0,0.0,MANUAL
4,40.898,-0.0016,0.01,0.0,0.0,0.0,0.0,MANUAL
5,41.067,-0.0016,0.01,0.0,0.0,0.0,0.0,MANUAL
6,41.236,-0.0016,0.01,0.0,0.0,0.0,0.0,MANUAL
7,41.394,-0.0016,0.01,0.0,0.0,0.0,0.0,MANUAL
8,41.563,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
9,41.738,-0.0016,0.0,0.001,0.0,0.0,0.0,MANUAL
10,41.919,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
11,42.082,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
12,42.24,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
13,42.413,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
14,42.57,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
15,42.719,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
16,42.858,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
17,43.022,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
18,43.179,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
19,43.334,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
20,43.487,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
21,43.637,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
22,43.816,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
23,43.991,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
24,44.149,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
25,44.317,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
26,44.474,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
27,44.617,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
28,44.729,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
29,44.829,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
30,44.926,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
31,45.028,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
32,45.161,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
33,45.26,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
34,45.364,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
35,45.494,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
36,45.603,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
37,45.693,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
38,45.793,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
39,45.895,-0.0016,0.0,0.001,0.0,0.0,0.0,MANUAL
40,45.999,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
41,46.097,-0.0016,0.0,0.001,0.0,0.0,0.0,MANUAL
42,46.193,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
43,46.297,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
44,46.395,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
45,46.496,-0.0016,-0.0,0.001,0.0,0.0,0.0,MANUAL
46,46.593,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
47,46.697,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
48,46.795,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
49,46.895,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
50,46.997,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
51,47.098,-0.0016,-0.0,0.001,0.0,0.0,0.0,MANUAL
52,47.197,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
53,47.295,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
54,47.396,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
55,47.493,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
56,47.594,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
57,47.695,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
58,47.803,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
59,47.894,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
60,47.994,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
61,48.095,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
62,48.195,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
63,48.302,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
64,48.397,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
65,48.494,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
66,48.597,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
67,48.695,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
68,48.795,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
69,48.894,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
