frame,time_s,lateral_offset_norm,heading_error_deg,speed_mps,steering,throttle,brake,drive_mode,raw_heading_deg,raw_lateral_px,kalman_active,width_corrected_rows
0,37.947,-0.0016,-0.01,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
1,38.107,-0.0016,0.03,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
2,38.279,-0.0016,0.02,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
3,38.437,-0.0016,0.02,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
4,38.572,-0.0016,0.01,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
5,38.728,-0.0016,0.01,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
6,38.86,-0.0016,0.01,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
7,38.999,-0.0016,0.01,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
8,39.147,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
9,39.28,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
10,39.418,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
11,39.571,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
12,39.721,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
13,39.845,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
14,39.997,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
15,40.151,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
16,40.298,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
17,40.456,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
18,40.62,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
19,40.795,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
20,40.952,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
21,41.125,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
22,41.284,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
