frame,time_s,lateral_offset_norm,heading_error_deg,speed_mps,steering,throttle,brake,drive_mode,raw_heading_deg,raw_lateral_px,kalman_active,width_corrected_rows,curvature
0,35.664,-0.0016,-0.05,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.1328
1,35.822,-0.0016,0.07,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.00038
2,35.96,-0.0016,0.02,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,8e-05
3,36.102,-0.0016,0.01,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,2e-05
4,36.267,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
5,36.421,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
6,36.61,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
7,36.768,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
8,36.911,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
9,37.056,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
10,37.185,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
11,37.304,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
12,39.154,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
13,39.31,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
14,39.439,-0.0016,-0.0,0.001,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
15,39.573,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
16,39.695,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
17,39.831,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
18,39.951,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
19,40.05,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
20,40.157,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
21,40.274,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
22,40.386,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
23,40.533,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
24,40.708,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
25,40.89,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
26,41.042,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
27,41.193,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
28,41.342,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
29,41.475,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
30,41.588,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
31,41.687,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
32,41.787,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
33,41.888,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
34,41.985,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
35,42.084,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
36,42.185,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
37,42.295,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
38,42.386,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
39,42.485,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
40,42.586,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
41,42.687,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
42,42.792,-0.0016,-0.0,0.0,-1.0,0.6,0.0,AUTO,0.0,-0.5,False,1,-0.0
43,42.892,-0.0016,-0.0,0.027,-1.0,0.6,0.0,AUTO,0.0,-0.5,False,1,0.0
44,42.993,-0.0016,0.0,0.066,-1.0,0.6,0.0,AUTO,0.0,-0.5,False,1,0.0
45,43.1,-0.0016,0.0,0.128,-1.0,0.6,0.0,AUTO,0.0,-0.5,False,1,0.0
46,43.193,-0.0016,0.0,0.177,-1.0,0.6,0.0,AUTO,0.0,-0.5,False,1,0.0
47,43.294,-0.0016,0.0,0.262,-1.0,0.6,0.0,AUTO,0.0,-0.5,False,1,0.0
48,43.429,-0.0016,0.0,0.457,-1.0,0.6,0.0,AUTO,0.0,-0.5,False,1,-0.0
49,43.532,-0.0016,0.0,0.926,-1.0,0.6,0.0,AUTO,0.0,-0.5,False,1,-0.0
50,43.629,-0.0016,-0.0,1.257,0.8828,0.523,0.0,AUTO,0.0,-0.5,False,2,-0.0
51,43.728,-0.0016,-0.0,1.611,1.0,0.417,0.0,AUTO,0.0,-0.5,False,1,-0.0
52,43.835,-0.0016,-0.0,1.962,1.0,0.311,0.0,AUTO,0.0,-0.5,False,2,-0.0
53,43.931,-0.0016,-0.0,2.291,1.0,0.213,0.0,AUTO,0.0,-0.5,False,1,0.0
54,44.029,-0.0016,-0.0,2.533,1.0,0.14,0.0,AUTO,0.0,-0.5,False,1,0.0
55,44.13,-0.0016,0.0,2.725,1.0,0.083,0.0,AUTO,0.0,-0.5,False,1,0.0
56,44.227,-0.0016,0.0,2.881,1.0,0.036,0.0,AUTO,0.0,-0.5,False,0,0.0
57,44.326,-0.0016,0.0,2.95,1.0,0.015,0.0,AUTO,0.0,-0.5,False,0,0.0
58,44.431,-0.0016,0.0,2.944,-1.0,0.017,0.0,AUTO,0.0,-0.5,False,1,0.0
59,44.528,-0.0016,0.0,2.872,-1.0,0.038,0.0,AUTO,0.0,-0.5,False,1,0.0
60,44.628,-0.0016,0.0,2.931,-1.0,0.021,0.0,AUTO,0.0,-0.5,False,1,0.0
61,44.727,-0.0016,0.0,3.016,-1.0,0.0,0.005,AUTO,0.0,-0.5,False,0,0.0
62,44.827,-0.0016,0.0,3.037,1.0,0.0,0.011,AUTO,0.0,-0.5,False,1,0.0
63,44.929,-0.0016,0.0,3.075,1.0,0.0,0.022,AUTO,0.0,-0.5,False,1,0.0
64,45.028,-0.0016,0.0,3.016,1.0,0.0,0.005,AUTO,0.0,-0.5,False,1,0.0
65,45.129,-0.0016,0.0,2.877,1.0,0.037,0.0,AUTO,0.0,-0.5,False,1,0.0
66,45.229,-0.0016,0.0,2.776,-1.0,0.067,0.0,AUTO,0.0,-0.5,False,1,0.0
67,45.331,-0.0016,0.0,2.734,-1.0,0.08,0.0,AUTO,0.0,-0.5,False,1,0.0
68,45.437,-0.0016,0.0,2.805,-1.0,0.059,0.0,AUTO,0.0,-0.5,False,1,0.0
69,45.568,-0.0016,0.0,2.941,-1.0,0.018,0.0,AUTO,0.0,-0.5,False,1,0.0
70,45.662,-0.0016,0.0,3.01,1.0,0.0,0.003,AUTO,0.0,-0.5,False,1,0.0
71,45.766,-0.0016,0.0,3.053,1.0,0.0,0.016,AUTO,0.0,-0.5,False,1,0.0
72,45.861,-0.0016,0.0,2.994,1.0,0.002,0.0,AUTO,0.0,-0.5,False,1,0.0
73,45.961,-0.0016,0.0,2.851,1.0,0.045,0.0,AUTO,0.0,-0.5,False,1,0.0
74,46.096,-0.0016,0.0,2.745,-1.0,0.077,0.0,AUTO,0.0,-0.5,False,1,0.0
75,46.197,-0.0016,0.0,2.697,-1.0,0.091,0.0,AUTO,0.0,-0.5,False,2,0.0
76,46.295,-0.0016,0.0,2.759,-1.0,0.072,0.0,AUTO,0.0,-0.5,False,1,0.0
77,46.396,-0.0016,0.0,2.887,-1.0,0.034,0.0,AUTO,0.0,-0.5,False,0,0.0
78,46.498,-0.0016,0.0,2.988,1.0,0.004,0.0,AUTO,0.0,-0.5,False,1,0.0
